threshold,precision,recall,f1
0.6351,0.9815,0.62,0.76
0.6378,0.9815,0.6177,0.7582
0.6454,0.9813,0.6131,0.7547
0.6459,0.9813,0.6107,0.7529
0.646,0.9812,0.6084,0.7511
0.6573,0.9811,0.6037,0.7475
0.6579,0.981,0.6014,0.7457
0.6581,0.9809,0.5991,0.7438
0.6599,0.9808,0.5967,0.742
0.66,0.9846,0.5967,0.7431
0.6603,0.9845,0.5921,0.7394
0.6634,0.9844,0.5897,0.7376
0.6711,0.9844,0.5874,0.7358
0.6716,0.9843,0.5851,0.7339
0.6717,0.9843,0.5828,0.7321
0.6723,0.9842,0.5804,0.7302
0.6742,0.9841,0.5781,0.7283
0.6747,0.984,0.5734,0.7246
0.6789,0.9839,0.5711,0.7227
0.6806,0.9839,0.5688,0.7208
0.6816,0.9837,0.5641,0.717
0.6878,0.9836,0.5594,0.7132
0.6894,0.9835,0.5571,0.7113
0.6902,0.9835,0.5548,0.7094
0.6904,0.9876,0.5548,0.7104
0.6962,0.9875,0.5524,0.7085
0.6969,0.9916,0.5524,0.7096
0.6979,0.9916,0.5478,0.7057
0.6988,0.9915,0.5455,0.7038
0.7042,0.9915,0.5408,0.6998
0.7057,0.9914,0.5361,0.6959
0.7059,0.9913,0.5338,0.6939
0.7086,0.9913,0.5315,0.692
0.7089,0.9912,0.5268,0.688
0.7098,0.9912,0.5245,0.686
0.7099,0.9912,0.5221,0.684
0.7112,0.9911,0.5198,0.682
0.7116,0.9911,0.5175,0.6799
0.714,0.991,0.5152,0.6779
0.7144,0.991,0.5128,0.6759
0.7202,0.991,0.5105,0.6738
0.7235,0.9909,0.5082,0.6718
0.7318,0.9909,0.5058,0.6698
0.739,0.9908,0.5035,0.6677
0.739,0.9908,0.5012,0.6656
0.7396,0.9907,0.4988,0.6636
0.7408,0.9907,0.4965,0.6615
0.7413,0.9906,0.4918,0.6573
0.7423,0.9906,0.4895,0.6552
0.7435,0.9905,0.4848,0.651
0.7513,0.9904,0.4825,0.6489
0.7516,0.9952,0.4825,0.6499
0.7524,0.9952,0.4802,0.6478
0.7524,0.9951,0.4779,0.6457
0.7526,0.9951,0.4755,0.6435
0.7545,0.9951,0.4709,0.6392
0.7573,0.995,0.4685,0.6371
0.7579,0.995,0.4639,0.6328
0.7622,0.9949,0.4592,0.6284
0.7642,0.9949,0.4569,0.6262
0.7655,0.9949,0.4545,0.624
0.7688,0.9948,0.4499,0.6196
0.7702,0.9948,0.4452,0.6151
0.7726,0.9948,0.4429,0.6129
0.7757,0.9947,0.4406,0.6107
0.7769,0.9947,0.4382,0.6084
0.7771,0.9947,0.4336,0.6039
0.7779,0.9946,0.4312,0.6016
0.7792,0.9946,0.4289,0.5993
0.7796,0.9946,0.4266,0.5971
0.7798,0.9945,0.4242,0.5948
0.7801,0.9945,0.4196,0.5902
0.7808,0.9944,0.4149,0.5855
0.7838,0.9944,0.4126,0.5832
0.7885,0.9944,0.4103,0.5809
0.8043,0.9943,0.4056,0.5762
0.8079,0.9943,0.4033,0.5738
0.8085,0.9942,0.3986,0.5691
0.8086,0.9942,0.3963,0.5667
0.8116,0.9941,0.3916,0.5619
0.8124,0.994,0.3893,0.5595
0.8185,0.994,0.3846,0.5546
0.8194,0.9939,0.3823,0.5522
0.8216,0.9939,0.3776,0.5473
0.8237,0.9938,0.3753,0.5448
0.8245,0.9938,0.3706,0.5399
0.8269,0.9937,0.366,0.5349
0.8293,0.9936,0.3613,0.5299
0.8294,0.9935,0.3566,0.5249
0.8353,0.9934,0.352,0.5198
0.8621,0.9933,0.3473,0.5147
0.8661,0.9932,0.3427,0.5095
0.8692,0.9932,0.338,0.5043
0.8759,0.9931,0.3333,0.4991
0.8782,0.993,0.331,0.4965
0.8829,0.993,0.3287,0.4939
0.8875,0.9929,0.324,0.4886
0.8909,0.9928,0.3217,0.4859
0.8965,0.9928,0.3193,0.4832
0.9023,0.9927,0.317,0.4806
0.9051,0.9926,0.3147,0.4779
0.9059,0.9926,0.3124,0.4752
0.9067,1.0,0.3124,0.476
0.9085,1.0,0.3077,0.4706
0.9144,1.0,0.3054,0.4679
0.9149,1.0,0.303,0.4651
0.9189,1.0,0.3007,0.4624
0.9287,1.0,0.296,0.4568
0.9326,1.0,0.2937,0.4541
0.9373,1.0,0.289,0.4485
0.9394,1.0,0.2867,0.4457
0.942,1.0,0.2821,0.44
0.943,1.0,0.2797,0.4372
0.9441,1.0,0.2774,0.4343
0.9466,1.0,0.2727,0.4286
0.949,1.0,0.2704,0.4257
0.9512,1.0,0.2657,0.4199
0.953,1.0,0.2634,0.417
0.9563,1.0,0.2587,0.4111
0.9565,1.0,0.2564,0.4082
0.9579,1.0,0.2541,0.4052
0.9605,1.0,0.2517,0.4022
0.9642,1.0,0.2494,0.3993
0.9648,1.0,0.2471,0.3963
0.9694,1.0,0.2448,0.3933
0.9701,1.0,0.2424,0.3902
0.9704,1.0,0.2378,0.3842
0.9718,1.0,0.2331,0.3781
0.9724,1.0,0.2308,0.375
0.9727,1.0,0.2284,0.3719
0.9729,1.0,0.2261,0.3688
0.9731,1.0,0.2214,0.3626
0.9745,1.0,0.2191,0.3595
0.9752,1.0,0.2145,0.3532
0.9762,1.0,0.2098,0.3468
0.978,1.0,0.2075,0.3436
0.9834,1.0,0.2051,0.3404
0.9835,1.0,0.2028,0.3372
0.9845,1.0,0.1981,0.3307
0.9853,1.0,0.1958,0.3275
0.9854,1.0,0.1935,0.3242
0.9891,1.0,0.1911,0.3209
0.9903,1.0,0.1865,0.3143
0.9904,1.0,0.1818,0.3077
0.9916,1.0,0.1772,0.301
0.9981,1.0,0.1748,0.2976
0.9985,1.0,0.1702,0.2908
1.0,1.0,0.1655,0.284
1.0,1.0,0.1608,0.2771
1.0,1.0,0.1492,0.2596
1.0,1.0,0.1399,0.2454
1.0,1.0,0.0723,0.1348
1.0,1.0,0.0536,0.1018
1.0,1.0,0.0186,0.0366
